"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013EA","B25085_013M","B25085_013MA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016M","B25085_016MA","B25085_016EA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021EA","B25085_021M","B25085_021MA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"0500000US18059","Hancock County, Indiana","630","null","259","null","13","null","11","null","0","27","null","null","0","27","null","null","23","36","null","null","9","null","15","null","0","null","27","null","0","27","null","null","45","60","null","null","8","10","null","null","0","null","27","null","105","null","112","null","0","null","27","null","0","27","null","null","47","76","null","null","112","93","null","null","0","null","27","null","31","null","49","null","167","164","null","null","70","80","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US18061","Harrison County, Indiana","335","null","161","null","0","null","24","null","0","24","null","null","4","7","null","null","44","68","null","null","4","null","6","null","0","null","24","null","0","24","null","null","52","77","null","null","0","24","null","null","1","null","3","null","86","null","87","null","0","null","24","null","6","10","null","null","45","69","null","null","46","72","null","null","43","null","62","null","4","null","7","null","0","24","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18063","Hendricks County, Indiana","434","null","183","null","6","null","11","null","0","27","null","null","0","27","null","null","5","8","null","null","0","null","27","null","0","null","27","null","0","27","null","null","7","11","null","null","8","12","null","null","0","null","27","null","18","null","20","null","0","null","27","null","0","27","null","null","100","76","null","null","14","18","null","null","37","null","44","null","41","null","61","null","60","98","null","null","39","61","null","null","68","null","79","null","31","null","46","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US18065","Henry County, Indiana","620","null","175","null","21","null","35","null","0","24","null","null","23","37","null","null","4","6","null","null","49","null","48","null","30","null","47","null","8","9","null","null","81","71","null","null","52","44","null","null","5","null","8","null","73","null","77","null","67","null","61","null","21","32","null","null","69","66","null","null","56","71","null","null","39","null","38","null","0","null","24","null","22","33","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18067","Howard County, Indiana","848","null","222","null","29","null","35","null","0","27","null","null","29","43","null","null","44","50","null","null","0","null","27","null","0","null","27","null","0","27","null","null","184","113","null","null","161","113","null","null","157","null","89","null","0","null","27","null","75","null","71","null","13","21","null","null","83","73","null","null","34","44","null","null","39","null","37","null","0","null","27","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US18069","Huntington County, Indiana","357","null","146","null","60","null","55","null","0","24","null","null","0","24","null","null","0","24","null","null","0","null","24","null","52","null","60","null","0","24","null","null","7","11","null","null","57","40","null","null","41","null","42","null","42","null","43","null","0","null","24","null","0","24","null","null","53","71","null","null","9","15","null","null","27","null","41","null","0","null","24","null","9","15","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18071","Jackson County, Indiana","397","null","158","null","0","null","24","null","0","24","null","null","0","24","null","null","0","24","null","null","10","null","16","null","0","null","24","null","0","24","null","null","50","53","null","null","21","36","null","null","36","null","31","null","56","null","57","null","65","null","61","null","70","95","null","null","21","22","null","null","0","24","null","null","58","null","68","null","0","null","24","null","10","17","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18073","Jasper County, Indiana","249","null","133","null","0","null","24","null","0","24","null","null","0","24","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null","0","24","null","null","0","null","24","null","6","null","10","null","0","null","24","null","31","48","null","null","115","100","null","null","14","23","null","null","23","null","34","null","60","null","61","null","0","24","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18075","Jay County, Indiana","128","null","78","null","0","null","21","null","0","21","null","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null","33","39","null","null","44","null","53","null","2","null","5","null","5","null","9","null","0","21","null","null","44","38","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null",
"0500000US18077","Jefferson County, Indiana","512","null","227","null","4","null","7","null","0","24","null","null","6","10","null","null","0","24","null","null","0","null","24","null","57","null","77","null","0","24","null","null","0","24","null","null","181","143","null","null","54","null","71","null","19","null","29","null","57","null","68","null","57","85","null","null","45","42","null","null","0","24","null","null","24","null","32","null","0","null","24","null","0","24","null","null","0","24","null","null","0","null","24","null","8","null","13","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
