"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016M","B25085_016MA","B25085_016EA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018M","B25085_018MA","B25085_018EA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021EA","B25085_021M","B25085_021MA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"0500000US12095","Orange County, Florida","10935","null","1269","null","23","null","37","null","168","100","null","null","285","143","null","null","73","73","null","null","7","null","12","null","74","null","61","null","233","166","null","null","239","161","null","null","440","188","null","null","345","null","224","null","115","null","79","null","369","172","null","null","428","223","null","null","545","221","null","null","525","266","null","null","669","null","342","null","825","302","null","null","1256","418","null","null","1195","438","null","null","975","null","299","null","856","null","306","null","890","null","315","null","163","null","126","null","102","null","96","null","48","50","null","null","87","86","null","null",
"0500000US12097","Osceola County, Florida","2257","null","480","null","0","null","31","null","0","31","null","null","0","31","null","null","34","45","null","null","54","null","85","null","0","null","31","null","172","150","null","null","0","31","null","null","116","114","null","null","44","null","64","null","18","null","29","null","46","76","null","null","97","104","null","null","157","128","null","null","61","70","null","null","352","null","209","null","390","194","null","null","261","148","null","null","173","152","null","null","119","null","134","null","34","null","53","null","129","null","110","null","0","null","31","null","0","null","31","null","0","31","null","null","0","31","null","null",
"0500000US12099","Palm Beach County, Florida","14781","null","1047","null","94","null","89","null","49","52","null","null","160","115","null","null","201","106","null","null","159","null","109","null","218","null","84","null","100","72","null","null","360","134","null","null","462","183","null","null","658","null","189","null","422","null","169","null","459","183","null","null","397","137","null","null","947","286","null","null","1118","324","null","null","618","null","202","null","934","281","null","null","978","293","null","null","1235","313","null","null","1864","null","399","null","925","null","282","null","913","null","285","null","311","null","152","null","208","null","117","null","302","139","null","null","689","189","null","null",
"0500000US12101","Pasco County, Florida","6117","null","669","null","147","null","93","null","157","96","null","null","156","80","null","null","53","49","null","null","163","null","108","null","155","null","112","null","261","120","null","null","275","148","null","null","397","176","null","null","461","null","203","null","611","null","224","null","293","110","null","null","201","144","null","null","286","131","null","null","290","128","null","null","579","null","246","null","409","186","null","null","474","178","null","null","224","114","null","null","381","null","166","null","124","null","99","null","20","null","30","null","0","null","31","null","0","null","31","null","0","31","null","null","0","31","null","null",
"0500000US12103","Pinellas County, Florida","11696","null","921","null","169","null","112","null","171","105","null","null","127","87","null","null","214","133","null","null","207","null","96","null","255","null","151","null","246","108","null","null","352","192","null","null","889","269","null","null","624","null","219","null","570","null","227","null","315","180","null","null","546","247","null","null","877","268","null","null","708","262","null","null","645","null","200","null","841","244","null","null","897","224","null","null","866","279","null","null","875","null","263","null","387","null","172","null","435","null","186","null","197","null","116","null","180","null","84","null","67","79","null","null","36","33","null","null",
"0500000US12105","Polk County, Florida","5912","null","603","null","375","null","175","null","13","21","null","null","97","69","null","null","284","153","null","null","150","null","113","null","382","null","194","null","351","175","null","null","382","186","null","null","224","153","null","null","316","null","167","null","388","null","161","null","100","67","null","null","116","79","null","null","143","86","null","null","363","142","null","null","417","null","179","null","260","152","null","null","486","189","null","null","267","151","null","null","305","null","163","null","109","null","83","null","84","null","84","null","39","null","62","null","197","null","99","null","0","31","null","null","64","61","null","null",
"0500000US12107","Putnam County, Florida","1097","null","290","null","67","null","81","null","81","68","null","null","29","32","null","null","122","115","null","null","67","null","74","null","60","null","59","null","72","86","null","null","22","20","null","null","85","80","null","null","0","null","31","null","6","null","9","null","99","73","null","null","121","87","null","null","70","44","null","null","37","56","null","null","20","null","15","null","28","45","null","null","67","79","null","null","0","31","null","null","25","null","24","null","14","null","23","null","0","null","31","null","0","null","31","null","5","null","10","null","0","31","null","null","0","31","null","null",
"0500000US12109","St. Johns County, Florida","1466","null","373","null","46","null","65","null","0","31","null","null","0","31","null","null","0","31","null","null","0","null","31","null","0","null","31","null","29","46","null","null","0","31","null","null","28","37","null","null","63","null","78","null","32","null","50","null","9","14","null","null","75","89","null","null","23","38","null","null","45","72","null","null","44","null","51","null","99","78","null","null","241","221","null","null","176","99","null","null","293","null","186","null","119","null","125","null","60","null","47","null","4","null","6","null","66","null","72","null","14","21","null","null","0","31","null","null",
"0500000US12111","St. Lucie County, Florida","2844","null","507","null","0","null","31","null","62","58","null","null","119","113","null","null","109","107","null","null","35","null","37","null","104","null","96","null","69","90","null","null","128","122","null","null","0","31","null","null","68","null","65","null","132","null","121","null","27","21","null","null","164","111","null","null","145","115","null","null","149","130","null","null","86","null","95","null","360","207","null","null","255","155","null","null","88","93","null","null","279","null","154","null","324","null","247","null","44","null","71","null","0","null","31","null","97","null","110","null","0","31","null","null","0","31","null","null",
"0500000US12113","Santa Rosa County, Florida","1200","null","341","null","0","null","31","null","69","100","null","null","0","31","null","null","0","31","null","null","0","null","31","null","8","null","13","null","0","31","null","null","37","42","null","null","0","31","null","null","0","null","31","null","111","null","108","null","110","104","null","null","97","91","null","null","120","92","null","null","62","70","null","null","0","null","31","null","79","104","null","null","83","105","null","null","210","139","null","null","94","null","83","null","0","null","31","null","49","null","59","null","71","null","87","null","0","null","31","null","0","31","null","null","0","31","null","null",
