cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
13117,11.5,4.6,8.8
13119,10.8,5.7,14.4
13121,10.8,6.9,11.0
13123,14.5,4.6,12.8
13125,7.5,7.4,16.2
13127,10.8,6.6,18.0
13129,7.699999999999999,5.0,11.2
13131,11.7,5.2,15.4
13133,12.5,5.5,15.6
13135,11.2,5.1,10.6
13137,9.6,5.3,14.8
13139,10.0,5.8,10.4
13141,11.2,3.9,29.8
13143,10.4,4.4,14.8
13145,9.7,6.7,17.3
13147,11.0,4.2,12.8
13149,11.4,3.0,17.0
13151,8.6,5.1,18.9
13153,7.3,4.7,29.6
13155,9.6,11.4,17.0
13157,10.6,5.9,13.7
13159,12.7,4.1,17.5
13161,7.2,4.0,16.3
13163,7.1000000000000005,3.3,18.9
13165,8.4,4.1,24.7
13167,13.299999999999999,3.2,18.0
13169,9.7,3.8,19.7
13171,9.8,5.1,18.6
13173,12.9,5.8,18.4
13175,8.9,5.4,19.3
13177,8.5,8.1,22.1
13179,6.9,3.5,31.6
13181,12.1,2.9,19.4
13183,7.3,2.4,22.6
13185,7.4,6.3,19.2
13187,10.3,7.1,18.9
13189,7.1000000000000005,4.4,13.1
13191,11.9,5.8,15.2
13193,7.5,4.0,18.7
13195,12.0,6.2,20.9
13197,13.3,8.3,20.6
13199,9.6,3.1,18.3
13201,17.5,4.6,19.1
13205,10.8,7.6,19.9
13207,10.8,8.5,17.2
13209,12.3,2.4,15.6
13211,13.100000000000001,6.5,17.6
13213,4.1,2.8,10.8
13215,6.6,5.7,18.9
13217,8.6,4.4,14.9
13219,15.0,7.4,23.7
13221,8.5,4.7,22.7
13223,9.3,5.5,13.6
13225,6.4,5.0,21.0
13227,12.2,5.6,13.4
13229,9.8,3.9,13.3
13231,9.5,4.7,23.4
13233,8.8,3.0,10.6
13235,6.0,3.6,22.3
13237,11.4,6.5,16.9
13239,5.7,3.0,23.2
13241,14.2,5.3,14.4
13243,11.3,3.1,18.5
13245,4.6,4.8,22.1
13247,10.5,3.7,18.9
13249,7.6,1.6,26.0
13251,9.9,1.9,15.3
13253,13.7,5.2,15.9
13255,7.6,4.9,15.4
13257,10.3,6.9,15.7
13259,3.5,2.1,31.7
13261,8.6,9.9,19.1
13263,6.9,11.3,13.6
13265,6.0,2.9,22.1
13267,12.4,4.5,24.5
13269,9.2,3.8,27.5
13271,8.1,0.9,26.3
13273,11.8,2.7,18.0
13275,9.5,8.4,18.7
13277,7.4,12.7,11.4
13279,8.5,4.5,19.0
13281,13.1,10.9,12.2
13283,8.6,4.0,20.3
13285,6.199999999999999,5.9,12.7
13287,7.3999999999999995,4.6,19.8
13289,8.2,5.0,17.3
13291,17.5,5.2,14.2
13293,7.5,4.3,20.7
13295,9.6,6.0,13.4
13297,13.100000000000001,3.8,13.9
13299,9.9,4.8,19.7
13301,8.4,5.9,18.2
13303,6.300000000000001,4.7,21.3
13305,11.7,3.9,20.8
13307,7.1,6.0,26.0
13309,7.4,1.1,29.5
13311,11.399999999999999,5.2,17.1
13313,5.5,4.4,9.2
13315,15.3,2.3,30.6
13317,9.0,3.7,16.1
