cfips,pct_occupation_mbsa,pct_in_finance_industry,pct_in_arts_industry,pct_in_public_admin_industry
05133,21.2,1.384083044982699,5.439446366782007,3.4602076124567476
05135,26.6,3.5622975967274586,9.340378387591613,3.749786943923641
05137,31.4,2.4626006904487916,10.01150747986191,4.073647871116226
05139,33.4,4.310344827586207,7.469119917653114,3.4997426659804423
05141,26.9,3.861140630534892,8.058802692171449,4.5164718384697125
05143,37.5,4.521771666432814,9.28674991815163,2.619147841541556
05145,33.4,4.930252698648356,6.433453960595094,3.7703751817141447
05147,35.4,3.880138301959278,4.264310411064157,4.763734152900499
05149,23.5,2.9597830998644374,5.671034794396747,4.326705829191143
06001,48.0,6.10521474991226,8.84752695719524,3.4465273323571055
06003,38.2,0.8021390374331552,15.240641711229946,11.229946524064172
