cfips,pct_divorced,pct_never_married
18085,11.8,24.6
18087,8.8,25.9
18089,11.6,35.4
18091,14.6,31.0
18093,14.5,20.1
18095,15.9,27.5
18097,13.0,41.6
18099,11.9,25.7
18101,15.7,24.9
18103,13.5,26.8
18105,10.8,47.1
18107,13.9,24.7
18109,13.5,24.3
18111,12.1,23.2
18113,13.4,24.4
18115,7.9,20.5
18117,16.0,23.2
18119,15.7,23.2
18121,16.6,21.9
18123,15.2,24.8
18125,12.9,21.0
18127,10.9,29.4
18129,11.9,21.6
18131,15.0,21.8
18133,13.0,32.5
18135,13.3,24.7
18137,11.5,23.5
18139,15.2,22.8
18141,11.2,35.0
18143,12.6,25.9
18145,12.8,24.1
18147,10.3,21.9
18149,14.5,25.4
18151,11.9,25.3
18153,16.3,27.0
18155,13.5,22.7
18157,9.9,45.4
18159,11.4,24.3
18161,15.2,23.7
18163,15.4,32.2
18165,16.2,23.4
18167,14.3,36.2
18169,12.4,26.6
18171,12.8,17.9
18173,10.8,21.7
18175,13.4,23.3
18177,16.1,27.6
18179,9.6,22.8
18181,12.7,21.9
18183,11.2,21.9
19001,10.5,21.6
19003,8.4,20.5
19005,8.5,23.2
19007,14.2,22.6
19009,10.8,19.5
19011,9.7,21.3
19013,10.3,37.2
19015,12.0,24.2
19017,7.4,26.9
19019,9.9,25.7
19021,9.0,28.5
19023,8.3,20.6
19025,11.6,20.5
19027,10.0,23.6
19029,12.4,21.0
19031,11.6,22.0
19033,11.5,27.6
19035,12.0,24.4
19037,8.2,23.7
19039,11.0,19.7
19041,10.4,22.9
19043,11.2,22.7
19045,12.9,27.2
19047,8.1,29.4
19049,8.7,24.2
19051,8.0,24.4
19053,12.3,29.4
19055,8.2,22.4
19057,13.9,28.4
19059,13.3,19.5
19061,9.3,31.2
19063,11.5,26.7
19065,11.8,26.9
19067,10.1,24.6
19069,7.8,25.5
19071,10.5,19.1
19073,10.4,22.9
19075,8.8,20.5
19077,12.2,20.7
19079,9.3,23.7
19081,7.9,21.8
19083,9.5,25.0
19085,11.1,23.2
19087,11.4,28.6
19089,11.1,22.8
19091,11.0,20.7
19093,11.2,20.8
19095,8.6,22.9
19097,11.5,23.7
19099,13.1,23.9
19101,12.0,34.9
19103,7.8,43.7
19105,11.6,23.9
19107,10.7,22.1
19109,10.6,22.4
19111,12.8,26.3
19113,11.4,30.6
19115,9.3,25.6
19117,13.1,22.0
19119,5.7,18.9
19121,8.5,19.0
19123,12.5,24.6
19125,10.2,25.8
19127,11.3,26.5
19129,9.7,25.7
19131,10.0,22.2
19133,11.4,23.2
19135,9.5,22.0
19137,11.6,24.0
19139,11.5,27.9
19141,8.1,23.2
19143,10.5,20.7
19145,10.5,28.4
19147,8.7,23.0
19149,9.0,23.5
19151,11.8,18.8
19153,12.4,31.9
19155,12.6,28.9
19157,10.1,31.4
19159,10.5,20.1
19161,10.2,21.0
19163,11.4,31.3
19165,12.3,22.7
19167,4.0,27.8
19169,5.8,49.9
19171,11.4,25.8
19173,10.6,20.0
19175,13.6,26.3
19177,9.9,22.0
19179,11.8,27.4
19181,10.5,25.5
19183,10.3,23.6
19185,12.4,22.4
19187,13.7,32.3
19189,8.3,28.4
19191,6.8,30.8
19193,11.2,31.7
19195,10.4,27.2
19197,10.0,24.5
20001,14.9,25.2
20003,11.2,21.8
20005,10.4,33.6
20007,14.3,21.1
20009,11.7,26.7
20011,10.4,25.8
20013,12.0,19.9
20015,10.7,24.9
20017,9.7,24.0
20019,13.6,22.7
20021,12.7,22.4
20023,12.3,18.1
20025,16.0,18.4
20027,13.4,18.9
20029,13.1,24.9
20031,12.1,19.0
20033,11.8,22.1
20035,13.3,25.7
20037,12.1,36.3
20039,14.0,17.8
20041,13.4,21.3
20043,11.1,28.5
20045,8.6,46.1
20047,11.4,18.5
20049,12.5,18.0
20051,9.0,38.7
20053,11.7,26.2
20055,9.5,33.0
20057,10.1,28.7
20059,12.7,24.1
20061,9.1,22.3
20063,7.6,16.0
20065,13.2,17.4
20067,8.3,25.3
20069,6.6,21.2
20071,5.2,19.8
20073,15.4,19.1
20075,7.1,31.1
20077,9.6,20.6
20079,9.3,26.9
20081,6.5,25.7
20083,6.8,16.9
20085,11.5,22.5
20087,10.7,20.4
20089,13.3,18.0
20091,10.1,27.4
20093,4.8,23.8
20095,10.4,20.2
20097,7.1,25.2
20099,11.3,26.3
20101,6.2,24.4
20103,12.9,27.0
20105,14.3,23.1
20107,10.7,20.8
20109,9.2,23.1
20111,10.2,35.0
20113,9.3,23.7
20115,9.1,22.9
20117,9.4,20.5
20119,10.4,25.2
20121,12.8,21.7
20123,14.6,24.9
20125,12.0,25.8
20127,9.1,22.3
20129,8.0,25.1
20131,7.8,22.8
20133,15.1,22.9
20135,7.5,13.9
20137,13.0,24.8
20139,13.0,20.7
20141,12.5,21.4
20143,9.2,23.3
20145,17.7,31.9
20147,10.5,20.3
20149,9.0,23.5
20151,11.1,24.0
20153,8.2,18.4
20155,13.6,26.4
20157,10.3,16.5
20159,9.4,24.2
20161,7.6,50.6
20163,10.3,22.3
20165,12.0,22.3
20167,10.2,19.1
20169,13.5,28.0
20171,9.0,21.8
20173,12.7,30.9
20175,11.0,34.6
20177,12.9,28.9
20179,10.8,16.0
20181,10.4,22.3
20183,8.8,16.4
20185,10.0,17.1
20187,6.7,23.2
20189,6.0,26.2
20191,10.9,22.8
20193,6.3,28.7
20195,9.4,19.0
20197,10.6,21.6
20199,8.3,21.3
20201,7.8,21.9
20203,5.3,21.8
20205,13.8,20.5
20207,16.0,21.2
20209,12.0,37.2
21001,10.4,28.0
21003,14.1,24.7
21005,15.1,21.4
21007,12.3,23.8
21009,14.8,24.2
21011,14.3,21.4
21013,15.3,23.3
21015,11.1,26.8
21017,13.6,27.7
21019,15.8,25.1
21021,13.6,30.3
21023,13.4,21.2
21025,11.6,27.2
21027,13.0,22.9
21029,11.8,25.9
21031,12.4,23.3
21033,12.5,21.5
21035,10.9,34.9
21037,12.4,32.3
21039,13.7,20.5
21041,13.1,25.4
21043,13.1,26.4
21045,13.7,21.6
21047,12.0,31.5
21049,14.6,25.3
21051,11.7,25.5
21053,15.2,26.8
21055,15.0,22.1
21057,12.5,25.7
21059,13.7,27.1
21061,12.0,20.6
21063,14.0,25.2
21065,18.0,25.2
21067,12.1,38.8
21069,11.4,20.4
21071,14.3,23.3
21073,14.6,29.5
21075,12.5,31.6
21077,16.3,28.5
21079,12.9,20.0
21081,14.7,24.5
21083,12.5,23.9
21085,15.4,21.2
21087,14.1,20.6
21089,12.8,21.5
21091,10.7,23.2
21093,12.6,26.9
21095,12.8,22.5
21097,11.5,24.5
21099,14.7,22.3
21101,15.6,25.7
21103,13.2,25.3
21105,15.4,25.4
21107,14.1,22.7
21109,11.9,15.9
21111,13.5,34.6
21113,13.1,27.7
21115,12.9,20.7
21117,12.9,32.1
21119,11.3,23.1
21121,14.5,25.1
21123,13.1,22.9
21125,14.3,23.8
21127,10.6,22.4
21129,14.6,28.1
21131,11.3,21.6
21133,13.9,22.6
21135,13.6,20.3
21137,14.0,21.9
21139,12.4,16.8
21141,14.1,22.8
21143,18.4,23.5
21145,14.5,25.9
21147,11.1,27.4
21149,10.8,18.2
21151,12.2,36.4
21153,11.5,20.6
21155,16.9,29.2
21157,11.6,18.6
21159,12.9,25.3
21161,12.3,26.4
21163,10.8,22.6
21165,12.7,17.6
21167,13.5,23.4
21169,11.7,20.7
21171,12.8,21.4
21173,16.5,24.2
21175,16.4,24.6
21177,13.6,23.8
21179,13.1,26.7
21181,12.4,24.0
21183,11.7,22.1
21185,9.3,27.1
21187,12.5,23.3
21189,11.8,26.1
21191,12.2,23.8
21193,14.5,22.7
21195,11.6,21.0
21197,16.4,21.7
21199,15.6,23.9
21201,9.8,26.9
21203,12.8,22.7
21205,12.6,40.6
21207,15.5,23.7
21209,11.8,24.8
21211,12.7,26.2
21213,12.5,25.5
21215,10.5,20.8
21217,14.4,28.1
21219,13.1,21.5
21221,14.2,19.3
