cfips,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35
17179,6.5,98.9,28.0
17181,16.4,97.4,28.0
17183,13.2,98.4,37.4
17185,11.7,98.4,36.6
17187,11.6,96.5,29.0
17189,11.1,98.8,26.4
17191,10.7,98.0,25.5
17193,14.5,98.6,29.1
17195,9.1,98.9,32.6
17197,6.1,98.1,42.8
17199,13.6,99.0,33.5
17201,9.0,97.9,40.1
17203,6.0,99.2,28.7
18001,5.7,94.4,40.5
18003,8.5,98.4,36.4
18005,7.2,97.0,28.7
18007,13.3,98.2,36.3
18009,13.9,98.7,39.0
18011,6.7,98.7,36.2
18013,30.0,98.0,43.2
18015,18.0,98.2,24.6
18017,9.5,97.4,38.0
18019,12.1,99.1,33.3
18021,9.4,98.3,39.3
18023,10.1,97.9,30.0
18025,27.7,98.2,42.0
18027,8.5,97.4,34.4
18029,8.3,98.6,35.8
18031,8.5,98.7,24.8
18033,8.4,99.2,28.3
18035,12.1,99.0,48.5
18037,6.9,97.4,29.6
18039,8.6,97.4,35.2
18041,13.2,98.2,42.7
18043,10.6,99.3,37.7
18045,11.1,98.9,27.9
18047,8.6,98.8,21.3
18049,18.3,99.2,34.4
18051,10.9,97.8,30.0
18053,14.2,98.7,38.5
18055,17.0,96.5,27.9
18057,4.9,99.2,31.1
18059,6.0,99.3,35.1
18061,12.9,98.3,35.9
18063,4.1,98.6,30.2
18065,14.7,99.4,36.5
18067,11.6,99.4,37.0
18069,8.6,99.0,31.9
18071,12.1,98.2,40.2
18073,9.2,97.8,38.0
18075,11.2,96.6,32.3
18077,12.1,97.5,34.0
18079,12.1,98.0,35.4
18081,7.8,98.2,35.0
18083,12.2,98.5,36.8
18085,20.4,97.6,32.0
18087,17.1,95.9,26.4
18089,12.2,97.8,41.8
18091,12.3,97.9,39.2
18093,12.7,98.4,30.7
18095,12.5,98.5,40.7
18097,12.8,98.0,43.8
18099,14.2,96.2,41.8
18101,11.6,98.0,33.4
18103,12.7,98.0,33.7
18105,9.5,98.7,52.5
18107,9.7,98.8,28.0
18109,8.5,98.3,29.5
18111,8.7,98.7,22.3
18113,10.7,97.3,28.5
18115,12.1,99.2,25.5
18117,15.0,97.7,30.3
18119,15.5,96.7,29.6
18121,25.0,96.8,35.0
18123,13.4,99.2,35.1
18125,11.9,99.4,22.2
18127,6.7,98.4,40.7
18129,11.3,99.1,40.0
18131,13.1,98.2,32.0
18133,12.0,97.0,25.2
18135,10.3,99.1,30.4
18137,8.8,96.8,30.2
18139,11.0,99.0,34.5
18141,13.3,98.5,38.8
18143,15.8,99.1,25.9
18145,8.3,97.8,32.1
18147,10.3,99.1,24.2
18149,20.7,98.4,31.1
18151,30.2,98.9,19.2
18153,14.9,97.7,43.1
18155,18.4,96.5,25.5
18157,8.0,98.3,45.7
18159,9.1,99.1,25.5
18161,11.9,98.6,39.7
18163,10.6,98.3,43.7
18165,13.0,98.4,26.3
18167,12.2,98.4,45.9
18169,8.9,98.9,36.5
18171,8.8,97.7,37.2
18173,6.2,98.1,34.6
18175,14.3,98.5,33.8
18177,15.7,98.3,35.2
18179,7.3,99.6,34.1
18181,25.5,98.3,31.8
18183,7.7,98.9,25.8
19001,13.0,99.3,24.8
19003,17.7,99.3,17.8
19005,21.8,97.6,25.9
19007,18.3,97.8,28.6
19009,10.9,99.9,25.1
19011,8.5,99.0,26.5
19013,7.8,98.4,40.5
19015,7.4,97.8,26.1
19017,7.7,99.6,29.4
19019,9.5,98.9,24.3
19021,8.8,93.0,23.6
19023,7.1,98.9,23.0
19025,16.2,98.5,34.8
19027,8.2,99.4,34.0
19029,7.8,99.7,26.9
19031,7.7,99.5,18.1
19033,14.0,99.2,29.6
19035,9.5,100.0,25.9
19037,7.1,99.3,28.1
19039,7.4,96.8,36.8
19041,11.0,97.6,33.1
19043,16.0,98.0,29.1
19045,9.2,99.6,41.4
19047,8.9,95.9,22.8
19049,5.7,97.9,30.2
19051,9.7,93.4,28.8
19053,17.8,97.5,34.6
19055,14.1,99.0,27.2
19057,9.6,98.7,38.9
19059,40.2,99.3,35.2
19061,6.7,99.0,37.2
19063,13.9,97.2,36.4
19065,13.2,99.2,36.6
19067,8.2,98.2,36.1
19069,12.9,98.4,25.9
19071,13.3,98.5,28.1
19073,13.9,99.2,36.7
19075,7.4,98.9,28.2
19077,24.0,98.8,28.5
19079,11.4,99.0,30.8
19081,9.9,99.4,35.5
19083,12.4,98.9,23.8
19085,10.4,99.2,27.5
19087,6.7,98.8,31.9
19089,11.1,99.6,31.4
19091,10.6,99.7,25.2
19093,11.2,99.8,21.3
19095,7.2,99.2,22.7
19097,11.7,99.4,27.1
19099,10.4,98.3,29.1
19101,9.6,98.4,37.2
19103,5.8,97.8,50.3
19105,7.7,98.7,28.1
19107,8.6,98.3,34.8
19109,11.1,99.1,43.1
19111,12.6,99.0,35.2
19113,6.9,98.7,32.4
19115,13.3,97.2,19.4
19117,12.2,99.9,19.8
