cfips,pct_k12_enrollment,pct_k12_public_students,pct_college_public_students,pct_college_enrollment
08099,91.22729286663713,93.1,85.9,37.9
08101,94.48706512042818,95.3,87.9,34.1
08103,99.73821989528795,92.5,92.2,50.2
08105,98.62525458248473,90.1,98.8,33.8
08107,98.25664475564447,96.0,89.2,33.1
08109,91.20073327222731,91.6,84.1,34.0
08111,100.0,100.0,100.0,39.3
08113,97.72528433945757,92.1,38.3,18.0
08115,97.09302325581395,97.0,100.0,15.3
08117,93.89312977099236,90.0,78.1,22.7
08119,98.86131386861314,94.3,68.7,24.9
08121,98.71794871794872,94.9,74.5,11.2
08123,97.01280227596017,92.9,88.7,42.5
08125,95.30201342281879,89.9,89.2,29.5
09001,98.23304797684301,87.2,56.5,47.5
09003,97.57734802721858,92.7,68.6,45.3
09005,97.07664748256279,89.3,73.0,39.9
09007,98.17956327235683,90.6,49.8,53.6
09009,97.79791454066952,90.6,51.0,50.1
09011,97.58330562872413,91.3,58.6,36.5
09013,98.19400939702427,96.1,91.5,72.4
09015,94.64234986648486,92.9,88.9,57.8
10001,95.730004374306,91.6,79.5,42.9
10003,96.9927536231884,85.3,80.3,49.7
10005,96.4724971604738,91.3,85.3,32.4
11001,97.11750538724807,85.3,27.1,54.4
12001,94.88170253239805,85.0,95.7,74.4
12003,98.50414392561149,94.4,72.9,18.9
12005,96.7167080678259,89.5,83.2,27.2
12007,93.04305521770858,90.9,77.8,17.6
12009,97.74481892661338,88.4,72.2,39.7
12011,97.27098199002504,86.4,70.9,43.2
12013,98.01412180052957,97.0,78.2,29.9
12015,95.66148901981789,90.3,78.4,28.0
12017,96.53857977251768,90.5,72.5,25.5
12019,96.61654135338345,89.6,80.7,36.3
12021,96.63960259648097,91.4,61.4,31.8
12023,95.32147742818057,84.5,82.0,18.0
12027,92.85714285714286,95.0,89.8,15.4
12029,97.75132275132275,83.0,74.9,24.7
12031,97.09571756223222,83.2,77.5,33.4
12033,97.39750674720473,84.4,69.7,41.6
12035,96.36413528160801,92.1,77.2,36.3
12037,95.0,88.6,85.4,21.9
12039,98.5011581959395,87.4,80.7,25.4
12041,98.35029835029835,93.6,86.5,17.5
12043,96.42857142857143,85.1,75.0,31.4
12045,95.20925110132158,92.0,68.3,20.7
12047,98.95387541607228,90.9,93.7,13.8
12049,94.50877848337691,95.3,81.9,21.1
12051,94.7487153778669,93.3,81.3,19.3
12053,96.90245030050855,86.9,76.0,28.6
12055,94.66252909231963,91.3,74.6,29.6
12057,96.98948586029488,88.1,73.7,45.2
12059,93.74348279457769,97.7,74.4,25.8
12061,96.82362922897444,86.4,83.0,24.3
12063,95.00763358778626,89.2,61.8,24.0
12065,96.47680563711099,68.1,74.5,23.5
12067,99.65229485396384,95.2,59.6,21.4
12069,97.54288920955588,84.3,76.3,30.7
12071,96.31100320961238,91.5,75.1,37.2
12073,97.75292375261733,84.3,94.1,69.8
