cfips,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio
13215,195739,20.9,39.8,34.0,95.3
13217,108079,20.8,43.3,36.4,90.1
13219,38132,25.7,45.6,40.4,96.6
13221,14931,32.1,38.2,42.4,102.5
13223,159825,16.6,42.3,36.0,95.2
13225,27145,24.5,33.5,37.9,94.7
13227,31387,36.6,34.8,45.4,98.3
13229,19250,28.8,43.0,39.4,101.5
13231,18327,25.4,38.5,40.4,95.7
13233,41908,26.2,44.0,37.0,96.7
13235,11216,31.5,27.1,43.1,86.4
13237,21691,41.9,36.4,46.2,94.0
13239,2289,45.1,35.9,47.3,90.4
13241,16645,49.1,29.6,49.2,97.5
13243,6973,40.7,48.0,41.0,94.0
13245,201852,21.4,36.5,34.1,93.6
13247,89717,23.0,40.8,38.1,89.0
13249,5221,26.6,39.5,37.8,97.2
13251,13989,30.4,35.9,41.4,94.6
13253,8321,40.4,36.4,44.9,90.3
13255,65306,30.2,40.7,39.2,93.9
13257,25750,34.1,38.6,41.8,87.0
13259,6293,20.4,16.8,35.4,198.8
13261,30064,27.7,38.2,35.7,89.5
13263,6321,39.5,29.0,50.1,93.3
13265,1611,42.1,25.0,44.2,96.9
13267,25382,21.1,31.3,37.3,142.7
13269,8116,32.4,34.0,45.2,90.8
13271,16035,26.7,25.5,41.5,135.9
13273,8737,32.4,40.1,41.1,91.1
13275,44630,30.1,40.8,40.4,91.0
13277,40541,23.8,41.0,36.2,94.3
13279,26972,28.2,46.4,36.4,86.1
13281,11617,64.6,23.3,54.0,88.8
13283,6795,35.9,37.4,40.1,105.9
13285,69919,23.8,40.6,36.4,91.5
13287,7943,34.7,43.3,40.3,91.8
13289,8229,37.3,33.1,45.7,96.3
13291,23288,63.5,31.9,54.3,95.1
13293,26236,30.6,39.6,42.1,90.8
13295,69039,30.6,36.7,41.4,98.2
13297,91442,25.3,41.8,38.7,94.3
13299,35593,28.4,39.6,39.5,101.4
13301,5297,37.5,36.1,45.1,87.3
13303,20436,29.1,35.2,41.5,105.0
13305,29788,26.2,41.5,38.9,101.4
13307,2610,36.0,43.5,45.1,95.1
13309,7928,20.4,24.6,38.8,171.9
13311,29489,37.9,33.9,46.1,95.4
13313,104237,22.8,43.7,36.0,98.4
13315,8824,25.8,29.2,39.8,149.4
13317,9844,41.0,38.4,45.1,94.0
13319,9010,32.1,39.4,42.6,90.2
13321,20494,31.9,38.4,41.6,92.9
15001,199459,34.7,37.3,42.7,98.6
15003,984821,28.1,34.6,37.9,101.5
15005,66,20.4,1.9,57.4,83.3
15007,71769,32.9,37.4,42.6,98.0
15009,165979,29.0,36.2,41.2,99.1
16001,456849,22.5,38.8,37.0,100.4
16003,4097,55.3,32.1,55.2,106.4
16005,85765,23.0,44.0,33.8,99.3
16007,6000,38.8,49.8,39.6,97.2
16009,9138,40.2,40.9,46.2,102.3
16011,45839,24.9,56.1,33.6,100.0
16013,22373,29.6,36.9,43.2,106.2
16015,7378,42.8,29.4,54.0,105.0
16017,43611,42.2,35.5,47.9,99.5
16019,114392,23.3,55.2,32.9,100.4
16021,11845,38.6,42.8,43.5,99.9
16023,2581,37.0,41.0,45.2,111.2
16025,1048,34.0,46.7,44.5,90.2
16027,217633,23.3,50.0,33.6,97.9
16029,6953,30.8,54.3,36.9,105.5
16031,23690,25.4,59.3,32.9,103.5
16033,913,26.3,51.7,33.2,110.9
16035,8673,46.6,28.1,50.4,125.7
16037,4169,64.3,31.6,53.0,106.2
16039,26743,21.0,40.5,32.3,110.8
16041,13464,25.7,60.6,32.8,105.6
16043,13020,30.0,46.5,37.6,107.7
