cfips,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree
18003,27.0,22.0,22.6
18005,43.5,15.3,16.8
18007,34.8,16.3,20.2
18009,28.4,20.1,15.6
18011,32.4,19.9,23.2
18013,33.1,22.2,15.1
18015,25.1,18.7,23.7
18017,22.1,19.8,12.4
18019,23.9,20.0,26.2
18021,19.5,20.2,15.4
18023,28.6,18.8,14.3
18025,26.8,17.0,16.7
18027,18.6,16.9,21.0
18029,23.2,19.0,19.5
18031,24.5,20.3,20.0
18033,25.0,22.1,19.2
18035,22.2,26.9,17.1
18037,24.2,16.3,19.7
18039,23.9,21.0,19.2
18041,22.3,20.0,15.9
18043,25.8,19.5,25.2
18045,22.9,20.3,15.0
18047,23.0,17.5,22.8
18049,21.7,17.5,15.4
18051,25.0,16.0,20.8
18053,18.7,21.2,20.4
18055,31.0,15.0,16.4
18057,31.4,19.2,25.4
18059,23.2,24.6,21.8
18061,26.1,18.0,22.0
18063,26.4,18.5,23.9
18065,23.6,19.4,18.8
18067,28.5,18.7,16.4
18069,21.8,22.6,20.8
18071,28.0,10.8,22.0
18073,27.1,17.2,22.4
18075,22.5,15.8,24.5
18077,27.4,21.1,19.5
18079,22.7,14.6,23.8
18081,32.1,21.0,19.3
18083,21.8,21.4,15.5
18085,27.9,22.6,18.4
18087,24.6,15.0,22.5
18089,24.9,20.7,22.4
18091,26.5,23.1,19.5
18093,28.6,17.4,15.3
18095,23.1,21.2,21.4
18097,30.4,25.2,21.0
18099,25.4,23.0,17.7
18101,26.1,12.1,18.6
18103,24.4,17.9,17.5
18105,35.8,32.5,11.9
18107,30.5,19.1,11.1
18109,25.9,21.0,22.5
18111,32.3,13.8,21.6
18113,26.6,19.2,18.0
18115,20.9,12.8,17.9
18117,21.1,15.8,19.7
18119,29.6,19.9,20.7
18121,30.9,12.9,18.3
18123,21.8,23.2,14.8
18125,13.6,13.9,16.3
18127,30.1,21.4,19.2
18129,27.4,19.7,23.1
18131,21.7,16.0,19.8
18133,29.1,26.4,15.8
18135,17.5,20.3,16.2
18137,23.5,19.1,19.4
18139,26.9,18.8,17.8
18141,30.3,25.4,20.8
18143,18.1,13.5,19.0
18145,25.2,21.3,18.6
18147,31.7,18.4,16.8
18149,28.4,16.5,14.7
18151,24.5,15.7,24.4
18153,23.8,22.1,13.3
18155,14.9,17.3,28.8
18157,43.7,18.9,14.4
18159,30.9,15.4,11.9
18161,26.0,27.0,19.4
18163,26.8,21.7,21.9
18165,19.6,19.7,20.5
18167,26.4,24.7,16.0
18169,23.9,22.6,15.2
18171,30.2,18.6,11.2
18173,29.3,16.3,19.8
18175,24.1,19.2,17.2
18177,22.6,21.8,18.7
18179,22.3,18.6,28.9
18181,29.7,14.5,16.3
18183,25.2,17.7,22.8
19001,28.9,11.8,17.3
19003,33.9,8.8,12.3
19005,28.3,13.9,12.7
19007,27.8,19.4,20.0
19009,26.1,13.5,19.8
19011,29.0,15.1,23.4
19013,27.4,25.4,18.5
19015,35.6,20.2,17.4
19017,23.9,18.4,21.8
19019,28.5,17.7,15.6
19021,25.1,22.1,17.8
19023,21.3,22.2,19.3
19025,28.8,17.7,14.4
19027,24.5,16.3,20.7
19029,29.3,20.2,16.4
19031,29.7,15.2,23.2
19033,26.0,20.7,22.4
19035,27.5,13.0,14.9
19037,19.0,14.6,26.8
19039,29.3,16.9,31.6
19041,29.8,17.9,18.5
19043,22.7,17.0,19.9
19045,30.7,15.1,20.5
19047,25.9,16.2,21.5
19049,28.4,18.5,30.0
19051,30.1,26.2,10.2
19053,30.4,22.7,9.4
19055,29.0,16.7,14.8
19057,27.5,18.2,22.9
19059,27.3,17.1,20.9
19061,29.3,21.9,20.8
19063,20.3,21.9,17.1
19065,25.0,19.1,18.2
19067,25.9,20.0,16.8
19069,23.7,16.2,17.1
19071,29.6,14.6,17.9
19073,21.3,22.3,13.7
19075,28.5,20.8,15.5
19077,30.8,17.4,22.7
19079,35.0,17.6,16.2
19081,31.9,11.0,17.9
19083,28.2,17.2,15.3
19085,26.7,18.0,13.8
19087,23.2,21.9,16.2
19089,20.3,14.3,16.6
19091,33.2,15.5,18.4
19093,19.1,18.8,26.9
19095,32.7,16.5,17.2
19097,26.4,15.5,23.2
19099,30.0,19.7,23.1
19101,34.3,30.8,13.9
19103,40.0,25.1,12.8
19105,27.1,17.5,19.1
19107,26.7,13.0,17.6
19109,23.1,18.6,23.0
19111,20.9,22.8,16.8
19113,33.5,20.9,21.0
19115,27.6,12.1,20.5
19117,20.4,23.1,15.9
19119,27.2,17.3,15.1
19121,22.0,16.9,31.3
19123,31.0,17.8,20.0
19125,26.0,21.5,21.2
19127,29.5,17.5,20.8
19129,24.4,17.8,23.3
19131,19.6,22.4,18.0
19133,18.0,14.9,21.8
19135,29.4,20.6,8.9
19137,23.3,19.7,17.9
19139,32.4,15.5,22.6
19141,23.0,20.4,22.3
19143,32.4,20.6,11.8
19145,25.4,17.4,15.9
19147,23.4,16.4,17.5
19149,28.3,17.2,17.3
19151,29.1,19.2,15.6
19153,29.6,22.3,25.8
19155,25.2,20.7,22.1
19157,28.0,28.9,18.5
19159,33.6,15.7,11.6
