cfips,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied
12089,58.120418366408,2.91,71.5,80.0
12091,50.37069341474052,3.13,73.9,63.4
12093,49.25201380897584,3.32,61.6,72.2
12095,45.36034914068507,3.44,64.9,55.4
12097,51.31712897877663,3.96,70.8,61.6
12099,46.29549084543264,3.29,61.7,68.9
12101,49.53868304292892,3.09,71.9,72.1
12103,41.610272214670246,3.05,58.9,67.0
12105,49.758801103352134,3.44,66.5,68.9
12107,42.41440071865391,3.11,50.2,70.7
12109,60.174827931916234,3.16,79.9,80.4
12111,50.64786817821385,3.27,77.1,73.2
12113,58.52253046572409,3.05,82.9,76.0
12115,49.88842826046532,2.82,71.9,74.9
12117,50.80959071331505,3.18,71.8,64.6
12119,60.80028454561622,2.48,84.6,89.7
12121,51.88742611499194,3.33,44.2,74.3
12123,51.289669142471304,2.89,64.9,77.4
12125,48.13131313131313,2.85,49.5,66.1
12127,45.229220074366616,3.06,72.8,70.3
12129,55.375,3.03,70.0,82.0
12131,52.490882567469,2.92,70.5,74.6
12133,46.55035685963521,3.00,61.9,77.7
13001,55.198317307692314,3.17,60.1,76.4
13003,47.673611111111114,3.54,51.6,73.3
13005,50.671140939597315,3.21,57.7,72.4
13007,37.26315789473684,3.04,62.0,65.3
13009,40.145759990117966,3.19,61.5,58.5
13011,58.041543026706236,3.35,69.0,75.4
13013,56.825698536399926,3.47,86.1,75.6
13015,54.18981050841152,3.23,76.3,66.3
13017,38.180971597082106,3.39,65.8,58.8
13019,51.18772906203339,3.14,62.1,64.2
13021,35.81629843760754,3.31,69.4,52.3
13023,45.95306513409962,3.44,72.4,74.3
13025,49.083980653671404,3.40,46.9,80.3
13027,46.47198105761642,3.16,64.6,74.0
13029,59.051195585530344,3.21,76.4,70.1
13031,40.46392694063927,2.96,59.0,53.9
13033,50.518735505919686,3.24,58.0,70.8
13035,47.72315497040706,3.04,75.3,69.8
13037,35.19585253456221,3.14,57.0,65.6
13039,53.4698521046644,3.03,72.7,62.5
13043,44.50535758783952,3.19,56.1,57.6
13045,50.721905352838704,3.17,76.5,66.9
13047,55.78739204132699,3.18,77.3,74.0
13049,58.557823129251695,3.79,50.3,71.3
13051,40.796551470046424,3.18,68.8,54.7
13053,54.552529182879375,3.24,58.2,24.6
13055,47.74298056155508,3.09,68.8,68.2
13057,62.33590886914689,3.23,86.9,76.8
13059,32.6979772336418,3.01,54.4,39.0
13061,36.71497584541063,3.22,52.1,72.9
13063,33.19403048398901,3.67,70.2,49.5
13065,42.22850222042794,3.17,59.1,74.9
13067,50.61132629987088,3.19,75.6,64.5
13069,46.84166782102784,3.33,60.1,63.1
13071,45.4563044179297,3.42,59.3,63.0
13073,61.50587736948003,3.75,89.0,79.5
13075,47.01624577770629,3.27,61.2,66.4
13077,57.090419909676186,3.18,86.4,72.8
13079,51.75166297117516,3.24,55.2,77.9
13081,39.63890506697729,3.26,59.6,54.5
13083,57.578692493946726,2.78,69.7,71.5
13085,59.982302842605904,3.19,83.7,81.5
13087,45.75565251884173,3.00,67.7,57.5
13089,36.29671854862694,3.43,65.0,54.6
13091,47.102779234399584,2.97,57.7,67.8
13093,42.25099601593625,3.07,71.1,69.6
13095,31.06169507436853,3.23,66.2,46.0
13097,47.52881859027792,3.45,81.1,64.3
13099,35.7879234167894,3.11,69.3,64.0
13101,52.081998718770016,3.13,42.5,67.8
13103,57.52408841866617,3.36,72.6,75.9
13105,43.92115359174494,3.09,66.0,72.2
13107,41.36163109574341,3.16,62.2,63.8
13109,41.417910447761194,3.04,58.7,68.0
