cfips,birth_rate,pct_new_young_mothers
18137,54,7.6
18139,34,0.0
18141,54,4.2
18143,41,0.0
18145,59,5.9
18147,45,10.5
18149,69,0.0
18151,68,0.0
18153,49,4.5
18155,55,0.0
18157,49,0.3
18159,76,2.5
18161,24,0.0
18163,38,4.1
18165,74,5.9
18167,59,3.1
18169,49,0.0
18171,51,15.7
18173,40,1.4
18175,60,0.0
18177,52,2.0
18179,49,1.4
18181,96,0.9
18183,41,0.0
19001,52,2.9
19003,176,9.4
19005,85,0.0
19007,33,3.8
19009,97,0.0
19011,51,3.3
19013,57,3.6
19015,62,0.0
19017,58,0.0
19019,83,11.8
19021,105,0.0
19023,66,0.0
19025,91,0.0
19027,69,5.6
19029,80,8.6
19031,52,0.0
19033,100,0.0
19035,100,8.4
19037,89,0.0
19039,94,0.0
19041,66,0.0
19043,63,1.5
19045,55,1.1
19047,59,5.2
19049,60,0.4
19051,92,7.9
19053,58,17.0
19055,42,0.0
19057,47,1.8
19059,60,0.0
19061,65,7.5
19063,49,0.0
19065,86,1.3
19067,97,0.0
19069,112,0.0
19071,71,0.0
19073,35,8.3
19075,75,10.4
19077,19,0.0
19079,74,2.3
19081,59,26.1
19083,80,0.0
19085,61,0.0
19087,51,11.2
19089,142,12.2
19091,68,12.0
19093,62,0.0
19095,49,0.0
19097,77,0.0
19099,50,8.2
19101,50,55.6
19103,47,0.0
19105,53,5.3
19107,66,5.5
19109,87,8.2
19111,97,4.2
19113,58,4.1
19115,74,0.0
19117,81,0.0
19119,124,0.0
19121,75,0.0
19123,44,5.8
19125,59,0.0
19127,60,2.6
19129,37,0.9
19131,109,0.0
19133,65,0.0
19135,133,0.0
19137,58,0.0
19139,46,0.5
19141,106,0.7
19143,75,0.0
19145,49,10.3
19147,58,0.0
19149,67,0.0
19151,47,0.0
19153,49,4.5
19155,45,0.0
19157,28,0.0
19159,51,0.0
19161,84,0.0
19163,48,1.3
19165,60,0.0
19167,95,3.0
19169,37,0.0
19171,113,11.4
19173,58,0.0
19175,68,0.0
19177,64,0.0
19179,67,16.6
19181,71,0.0
19183,89,0.0
19185,65,2.5
19187,98,5.2
19189,81,0.0
