"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003EA","B05001_003M","B05001_003MA","B05001_004E","B05001_004M","B05001_004MA","B05001_004EA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total:!!U.S. citizen, born in the United States","Annotation of Estimate!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total:!!U.S. citizen by naturalization","Annotation of Estimate!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","Annotation of Margin of Error!!Total:!!Not a U.S. citizen","Annotation of Estimate!!Total:!!Not a U.S. citizen",
"0500000US21215","Spencer County, Kentucky","18680","*****","*****","null","18422","145","null","null","0","null","18","null","106","102","null","null","80","57","null","null","72","95","null","null",
"0500000US21217","Taylor County, Kentucky","25571","*****","*****","null","25072","148","null","null","0","null","21","null","56","40","null","null","108","72","null","null","335","115","null","null",
"0500000US21219","Todd County, Kentucky","12316","*****","*****","null","11965","76","null","null","0","null","18","null","43","38","null","null","63","50","null","null","245","68","null","null",
"0500000US21221","Trigg County, Kentucky","14449","*****","*****","null","14089","134","null","null","0","null","18","null","174","122","null","null","119","59","null","null","67","59","null","null",
"0500000US21223","Trimble County, Kentucky","8558","*****","*****","null","8406","86","null","null","0","null","16","null","14","18","null","null","53","43","null","null","85","74","null","null",
"0500000US21225","Union County, Kentucky","14638","*****","*****","null","14373","124","null","null","20","null","27","null","28","29","null","null","84","62","null","null","133","80","null","null",
"0500000US21227","Warren County, Kentucky","128652","*****","*****","null","115719","898","null","null","127","null","85","null","1015","225","null","null","3980","605","null","null","7811","948","null","null",
"0500000US21229","Washington County, Kentucky","12023","*****","*****","null","11710","65","null","null","0","null","18","null","33","35","null","null","82","67","null","null","198","75","null","null",
"0500000US21231","Wayne County, Kentucky","20546","*****","*****","null","20062","257","null","null","12","null","23","null","15","18","null","null","108","78","null","null","349","186","null","null",
"0500000US21233","Webster County, Kentucky","13068","*****","*****","null","12551","120","null","null","9","null","17","null","22","17","null","null","120","69","null","null","366","90","null","null",
"0500000US21235","Whitley County, Kentucky","36131","*****","*****","null","35714","185","null","null","0","null","24","null","76","75","null","null","103","75","null","null","238","142","null","null",
"0500000US21237","Wolfe County, Kentucky","7207","*****","*****","null","7193","17","null","null","0","null","16","null","0","16","null","null","9","14","null","null","5","9","null","null",
"0500000US21239","Woodford County, Kentucky","26318","*****","*****","null","24959","194","null","null","11","null","13","null","142","75","null","null","161","77","null","null","1045","173","null","null",
"0500000US22001","Acadia Parish, Louisiana","62457","*****","*****","null","61425","245","null","null","0","null","30","null","205","121","null","null","339","200","null","null","488","152","null","null",
"0500000US22003","Allen Parish, Louisiana","25618","*****","*****","null","24317","205","null","null","95","null","57","null","77","52","null","null","162","96","null","null","967","174","null","null",
"0500000US22005","Ascension Parish, Louisiana","123114","*****","*****","null","118645","588","null","null","205","null","165","null","386","173","null","null","1234","291","null","null","2644","552","null","null",
"0500000US22007","Assumption Parish, Louisiana","22478","*****","*****","null","22101","154","null","null","69","null","100","null","45","73","null","null","103","101","null","null","160","114","null","null",
"0500000US22009","Avoyelles Parish, Louisiana","40669","*****","*****","null","40216","174","null","null","43","null","59","null","45","38","null","null","150","67","null","null","215","129","null","null",
"0500000US22011","Beauregard Parish, Louisiana","37043","*****","*****","null","35821","267","null","null","112","null","64","null","265","79","null","null","403","123","null","null","442","186","null","null",
"0500000US22013","Bienville Parish, Louisiana","13564","*****","*****","null","13454","62","null","null","0","null","20","null","19","23","null","null","52","43","null","null","39","38","null","null",
"0500000US22015","Bossier Parish, Louisiana","126499","*****","*****","null","119608","747","null","null","156","null","79","null","1640","347","null","null","2815","438","null","null","2280","537","null","null",
"0500000US22017","Caddo Parish, Louisiana","245831","*****","*****","null","238670","620","null","null","146","null","91","null","1420","388","null","null","2466","346","null","null","3129","489","null","null",
"0500000US22019","Calcasieu Parish, Louisiana","201619","*****","*****","null","194648","692","null","null","532","null","359","null","995","257","null","null","2216","337","null","null","3228","396","null","null",
"0500000US22021","Caldwell Parish, Louisiana","9992","*****","*****","null","9640","169","null","null","23","null","40","null","88","60","null","null","52","52","null","null","189","159","null","null",
"0500000US22023","Cameron Parish, Louisiana","6930","*****","*****","null","6561","91","null","null","76","null","106","null","0","18","null","null","100","70","null","null","193","111","null","null",
"0500000US22025","Catahoula Parish, Louisiana","9766","*****","*****","null","9717","36","null","null","0","null","18","null","0","18","null","null","23","29","null","null","26","23","null","null",
"0500000US22027","Claiborne Parish, Louisiana","15985","*****","*****","null","15805","83","null","null","7","null","12","null","29","22","null","null","37","30","null","null","107","73","null","null",
"0500000US22029","Concordia Parish, Louisiana","19778","*****","*****","null","19414","143","null","null","10","null","18","null","28","34","null","null","63","53","null","null","263","125","null","null",
"0500000US22031","De Soto Parish, Louisiana","27289","*****","*****","null","26944","142","null","null","0","null","24","null","124","97","null","null","136","75","null","null","85","80","null","null",
"0500000US22033","East Baton Rouge Parish, Louisiana","443763","*****","*****","null","415515","1375","null","null","554","null","257","null","2548","541","null","null","9465","867","null","null","15681","1346","null","null",
"0500000US22035","East Carroll Parish, Louisiana","7096","*****","*****","null","7048","29","null","null","0","null","18","null","17","23","null","null","17","19","null","null","14","17","null","null",
"0500000US22037","East Feliciana Parish, Louisiana","19371","*****","*****","null","19124","100","null","null","14","null","22","null","61","51","null","null","81","53","null","null","91","59","null","null",
"0500000US22039","Evangeline Parish, Louisiana","33589","*****","*****","null","32378","287","null","null","0","null","27","null","102","78","null","null","75","62","null","null","1034","294","null","null",
"0500000US22041","Franklin Parish, Louisiana","20238","*****","*****","null","20150","71","null","null","0","null","24","null","7","9","null","null","28","26","null","null","53","68","null","null",
"0500000US22043","Grant Parish, Louisiana","22340","*****","*****","null","21571","174","null","null","73","null","62","null","44","42","null","null","100","56","null","null","552","150","null","null",
"0500000US22045","Iberia Parish, Louisiana","71887","*****","*****","null","68945","302","null","null","0","null","30","null","231","120","null","null","1069","200","null","null","1642","315","null","null",
"0500000US22047","Iberville Parish, Louisiana","32822","*****","*****","null","32470","130","null","null","12","null","23","null","91","65","null","null","139","100","null","null","110","84","null","null",
"0500000US22049","Jackson Parish, Louisiana","15879","*****","*****","null","15584","100","null","null","7","null","13","null","13","21","null","null","102","58","null","null","173","83","null","null",
"0500000US22051","Jefferson Parish, Louisiana","434850","*****","*****","null","373793","1848","null","null","1558","null","381","null","2911","501","null","null","22397","1100","null","null","34191","1647","null","null",
"0500000US22053","Jefferson Davis Parish, Louisiana","31441","*****","*****","null","31076","107","null","null","10","null","18","null","60","65","null","null","161","77","null","null","134","74","null","null",
"0500000US22055","Lafayette Parish, Louisiana","241973","*****","*****","null","230078","1055","null","null","227","null","132","null","1625","433","null","null","3275","660","null","null","6768","822","null","null",
