"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US48357","Ochiltree County, Texas","10348","*****","*****","null","8224","261","null","null","0","21","null","null","18","null","19","null","483","124","null","null","1623","303","null","null",
"0500000US48359","Oldham County, Texas","2090","*****","*****","null","2020","31","null","null","0","13","null","null","18","null","12","null","33","22","null","null","19","17","null","null",
"0500000US48361","Orange County, Texas","84047","*****","*****","null","81281","377","null","null","40","57","null","null","194","null","97","null","796","160","null","null","1736","398","null","null",
"0500000US48363","Palo Pinto County, Texas","28317","*****","*****","null","26143","277","null","null","21","34","null","null","155","null","60","null","882","239","null","null","1116","209","null","null",
"0500000US48365","Panola County, Texas","23440","*****","*****","null","22524","156","null","null","0","25","null","null","71","null","58","null","165","71","null","null","680","155","null","null",
"0500000US48367","Parker County, Texas","129802","*****","*****","null","121905","807","null","null","87","47","null","null","1521","null","289","null","2549","390","null","null","3740","702","null","null",
"0500000US48369","Parmer County, Texas","9852","*****","*****","null","7562","268","null","null","117","96","null","null","93","null","53","null","678","123","null","null","1402","238","null","null",
"0500000US48371","Pecos County, Texas","15797","*****","*****","null","13259","357","null","null","41","49","null","null","336","null","184","null","742","152","null","null","1419","308","null","null",
"0500000US48373","Polk County, Texas","47837","*****","*****","null","44435","416","null","null","23","25","null","null","297","null","154","null","767","212","null","null","2315","323","null","null",
"0500000US48375","Potter County, Texas","120899","*****","*****","null","100528","970","null","null","298","157","null","null","630","null","215","null","5444","631","null","null","13999","1032","null","null",
"0500000US48377","Presidio County, Texas","7123","*****","*****","null","4123","349","null","null","0","19","null","null","88","null","70","null","667","193","null","null","2245","395","null","null",
"0500000US48379","Rains County, Texas","11473","*****","*****","null","11020","122","null","null","11","19","null","null","55","null","56","null","148","74","null","null","239","88","null","null",
