"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005EA","B05001_005M","B05001_005MA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US46013","Brown County, South Dakota","38637","*****","*****","null","36980","279","null","null","124","153","null","null","217","null","113","null","474","null","215","null","842","248","null","null",
"0500000US46015","Brule County, South Dakota","5280","*****","*****","null","5192","56","null","null","0","13","null","null","30","null","39","null","19","null","19","null","39","32","null","null",
"0500000US46017","Buffalo County, South Dakota","2048","*****","*****","null","2022","34","null","null","26","34","null","null","0","null","9","null","0","null","9","null","0","9","null","null",
"0500000US46019","Butte County, South Dakota","10194","*****","*****","null","10105","54","null","null","0","15","null","null","5","null","11","null","34","null","36","null","50","45","null","null",
"0500000US46021","Campbell County, South Dakota","1443","163","null","null","1438","164","null","null","0","9","null","null","1","null","3","null","0","null","9","null","4","6","null","null",
"0500000US46023","Charles Mix County, South Dakota","9319","*****","*****","null","9247","32","null","null","7","9","null","null","25","null","20","null","38","null","20","null","2","5","null","null",
"0500000US46025","Clark County, South Dakota","3642","*****","*****","null","3567","70","null","null","20","48","null","null","11","null","13","null","8","null","12","null","36","68","null","null",
"0500000US46027","Clay County, South Dakota","13907","*****","*****","null","13311","95","null","null","11","16","null","null","101","null","62","null","154","null","81","null","330","74","null","null",
"0500000US46029","Codington County, South Dakota","27963","*****","*****","null","27434","129","null","null","0","17","null","null","126","null","67","null","236","null","94","null","167","71","null","null",
"0500000US46031","Corson County, South Dakota","4177","*****","*****","null","4162","10","null","null","0","9","null","null","0","null","9","null","4","null","4","null","11","9","null","null",
"0500000US46033","Custer County, South Dakota","8519","*****","*****","null","8241","126","null","null","0","13","null","null","18","null","19","null","127","null","85","null","133","60","null","null",
"0500000US46035","Davison County, South Dakota","19753","*****","*****","null","19290","212","null","null","0","15","null","null","95","null","64","null","113","null","92","null","255","173","null","null",
